İlçe,Mahalle,Oda Sayısı,m^2,Bina Yaşı,Kat,Fiyat
 Yenimahalle , Tepealtı,4,160,17,4,21000
 Çankaya , Sokullu Mehmet Paşa,4,125,25,2,23000
 Keçiören , Ayvalı,4,125,18,1,22500
 Çankaya , Karapınar,4,140,17,2,25000
 Keçiören , Ayvalı,4,125,20,3,20500
 Keçiören , Şehit Kubilay,5,155,7,4,18500
 Yenimahalle , Yeni Batı,4,140,11,2,38000
 Keçiören , Ayvalı,4,115,29,-1,15000
 Çankaya , Seyranbağları,3,90,12,0,24000
 Mamak , Cengizhan,4,150,12,1,20000
 Çankaya , Ertuğrulgazi,4,110,35,1,15500
 Çankaya , Naci Çakır,3,95,24,1,22000
 Çankaya , Ayrancı,4,125,35,3,29500
 Yenimahalle , Karacakaya,3,183,6,1,25000
 Çankaya , Öveçler,4,150,20,3,29000
 Mamak , Fahri Korutürk,4,120,17,2,16500
 Çankaya , Ayrancı,4,120,20,4,28000
 Sincan , Gazi Osmanpaşa,4,125,30,4,15000
 Altındağ , Aydınlıkevler,4,120,8,1,28500
 Çankaya , Maltepe,4,135,40,1,30000
 Çankaya , Aşıkpaşa,4,140,27,-1,23000
 Etimesgut , Yeni Bağlıca,5,160,10,2,36000
 Mamak , Demirlibahçe,4,115,29,1,15000
 Yenimahalle , Ergenekon,4,120,13,1,20000
 Mamak , Demirlibahçe,4,125,25,3,17000
 Mamak , Durali Alıç,4,140,9,3,22500
 Keçiören , Ayvalı,4,120,25,5,14500
 Yenimahalle , Ergazi,4,125,27,5,17000
 Etimesgut , Kazım Karabekir,3,80,20,1,13500
 Çankaya , Cevizlidere,4,150,15,1,31000
 Etimesgut , Yukarıyurtçu,3,95,10,6,15500
 Çankaya , Aydınlar,4,120,28,3,21000
 Yenimahalle , Demetgül,4,125,10,3,17000
 Yenimahalle , Kentkoop,5,165,24,5,30000
 Çankaya , Emek,3,95,6,-1,24500
 Çankaya , Keklik Pınarı,4,130,9,2,23000
 Çankaya , Ertuğrulgazi,3,80,30,-3,11000
 Yenimahalle , Demetlale,3,75,0,3,21000
 Çankaya , Çiğdem,4,145,15,1,40000
 Yenimahalle , Emniyet,4,100,25,2,24000
 Etimesgut , İstasyon,4,125,13,6,20000
